player_registry_id,cricsheet_player_id,canonical_name,current_player_role,current_batting_style,current_bowling_style,current_bowling_type_group,batting_hand,bowling_arm,bowling_style,bowling_type_group,player_role,confidence,notes
28121,pulse:23040,Mangesh Yadav,all_rounder,"","","","","","","",all_rounder,1.0,""
28129,pulse:20700,Nuwan Thushara,bowler,"","","","","","","",bowler,1.0,""
28111,pulse:5606,Phil Salt,batter,"","","","","","","",batter,1.0,""
28108,pulse:5471,Rajat Patidar,batter,"","","","","","","",batter,1.0,""
28126,pulse:20577,Rasikh Dar,bowler,"","","","","","","",bowler,1.0,""
28117,pulse:20609,Romario Shepherd,all_rounder,"","","","","","","",all_rounder,1.0,""
28120,pulse:23036,Satvik Deswal,all_rounder,"","","","","","","",all_rounder,1.0,""
28127,pulse:5668,Suyash Sharma,bowler,"","","","","","","",bowler,1.0,""
28115,pulse:3180,Swapnil Singh,all_rounder,"","","","","","","",all_rounder,1.0,""
28116,pulse:4524,Tim David,all_rounder,"","","","","","","",all_rounder,1.0,""
28119,pulse:8540,Venkatesh Iyer,all_rounder,"","","","","","","",all_rounder,1.0,""
28122,pulse:20624,Vicky Ostwal,all_rounder,"","","","","","","",all_rounder,1.0,""
28123,pulse:23150,Vihaan Malhotra,all_rounder,"","","","","","","",all_rounder,1.0,""
28110,pulse:164,Virat Kohli,batter,"","","","","","","",batter,1.0,""
28132,pulse:20591,Yash Dayal,bowler,"","","","","","","",bowler,1.0,""
28147,pulse:3760,Abhishek Sharma,all_rounder,"","","","","","","",all_rounder,1.0,""
28155,pulse:23087,Amit Kumar,bowler,"","","","","","","",bowler,1.0,""
28134,pulse:22082,Aniket Verma,batter,"","","","","","","",batter,1.0,""
28142,pulse:22075,Brydon Carse,all_rounder,"","","","","","","",all_rounder,1.0,""
28146,pulse:33335,David Payne,all_rounder,"","","","","","","",all_rounder,1.0,""
28152,pulse:22228,Eshan Malinga,bowler,"","","","","","","",bowler,1.0,""
28141,pulse:22381,Harsh Dubey,all_rounder,"","","","","","","",all_rounder,1.0,""
28139,pulse:157,Harshal Patel,all_rounder,"","","","","","","",all_rounder,1.0,""
28137,pulse:3869,Heinrich Klaasen,batter,"","","","","","","",batter,1.0,""
28133,pulse:2975,Ishan Kishan,batter,"","","","","","","",batter,1.0,""
28151,pulse:86,Jaydev Unadkat,bowler,"","","","","","","",bowler,1.0,""
28140,pulse:22077,Kamindu Mendis,all_rounder,"","","","","","","",all_rounder,1.0,""
28144,pulse:23132,Krains Fuletra,all_rounder,"","","","","","","",all_rounder,1.0,""
28145,pulse:3644,Liam Livingstone,all_rounder,"","","","","","","",all_rounder,1.0,""
28148,pulse:5711,Nitish Kumar Reddy,all_rounder,"","","","","","","",all_rounder,1.0,""
28154,pulse:23048,Onkar Tarmale,bowler,"","","","","","","",bowler,1.0,""
28149,pulse:488,Pat Cummins,bowler,"","","","","","","",bowler,1.0,""
28156,pulse:23114,Praful Hinge,bowler,"","","","","","","",bowler,1.0,""
28153,pulse:20717,Sakib Hussain,bowler,"","","","","","","",bowler,1.0,""
28136,pulse:23041,Salil Arora,batter,"","","","","","","",batter,1.0,""
28157,pulse:3779,Shivam Mavi,bowler,"","","","","","","",bowler,1.0,""
28143,pulse:23006,Shivang Kumar,all_rounder,"","","","","","","",all_rounder,1.0,""
28135,pulse:22378,Smaran Ravichandran,batter,"","","","","","","",batter,1.0,""
28138,pulse:1020,Travis Head,batter,"","","","","","","",batter,1.0,""
28150,pulse:22007,Zeeshan Ansari,bowler,"","","","","","","",bowler,1.0,""
