season,match_date,source_match_id,match_slug,event_slug,commentary_url,delivery_source_mode,inning,batting_team,bowling_team,ball,event,commentary,timestamp,timestamp_source,primary_team,primary_before_pct,primary_after_pct,primary_delta_pct,secondary_team,secondary_before_pct,secondary_after_pct,secondary_delta_pct,pricing_source_before,pricing_source_after
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3.3,0,,2026-03-28T14:24:49.881Z,estimated,Sunrisers Hyderabad,30,30,0,Royal Challengers Bengaluru,70,70,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3.4,0,,2026-03-28T14:25:44.153Z,estimated,Sunrisers Hyderabad,30,30,0,Royal Challengers Bengaluru,70,70,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3.5,0,,2026-03-28T14:26:38.424Z,estimated,Sunrisers Hyderabad,30,30,0,Royal Challengers Bengaluru,70,70,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3.6,1,,2026-03-28T14:27:32.695Z,estimated,Sunrisers Hyderabad,23,23,0,Royal Challengers Bengaluru,77,77,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4.1,0,,2026-03-28T14:28:26.966Z,estimated,Sunrisers Hyderabad,21,21,0,Royal Challengers Bengaluru,79,79,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4.2,0+W,,2026-03-28T14:29:21.237Z,estimated,Sunrisers Hyderabad,22,21,-1,Royal Challengers Bengaluru,78,79,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4.3,0,,2026-03-28T14:30:15.508Z,estimated,Sunrisers Hyderabad,25,25,0,Royal Challengers Bengaluru,75,75,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4.4,3,,2026-03-28T14:31:09.780Z,estimated,Sunrisers Hyderabad,23,24,1,Royal Challengers Bengaluru,77,76,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4.5,1,,2026-03-28T14:32:04.051Z,estimated,Sunrisers Hyderabad,24,24,0,Royal Challengers Bengaluru,76,76,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,4.6,0,,2026-03-28T14:32:58.322Z,estimated,Sunrisers Hyderabad,27,27,0,Royal Challengers Bengaluru,73,73,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5.1,0,,2026-03-28T14:33:52.593Z,estimated,Sunrisers Hyderabad,29,29,0,Royal Challengers Bengaluru,71,71,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5.2,6,,2026-03-28T14:34:46.864Z,estimated,Sunrisers Hyderabad,33,33,0,Royal Challengers Bengaluru,67,67,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5.3,4,,2026-03-28T14:35:41.136Z,estimated,Sunrisers Hyderabad,32,32,0,Royal Challengers Bengaluru,68,68,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5.4,6,,2026-03-28T14:36:35.407Z,estimated,Sunrisers Hyderabad,31,31,0,Royal Challengers Bengaluru,69,69,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5.5,0,,2026-03-28T14:37:29.678Z,estimated,Sunrisers Hyderabad,31,31,0,Royal Challengers Bengaluru,69,69,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,5.6,0,,2026-03-28T14:38:23.949Z,estimated,Sunrisers Hyderabad,31,32,1,Royal Challengers Bengaluru,69,68,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6.1,1,,2026-03-28T14:39:18.220Z,estimated,Sunrisers Hyderabad,32,32,0,Royal Challengers Bengaluru,68,68,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6.2,1,,2026-03-28T14:40:12.492Z,estimated,Sunrisers Hyderabad,30,30,0,Royal Challengers Bengaluru,70,70,0,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6.3,1,,2026-03-28T14:41:06.763Z,estimated,Sunrisers Hyderabad,30,32,2,Royal Challengers Bengaluru,70,68,-2,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6.4,1,,2026-03-28T14:42:01.034Z,estimated,Sunrisers Hyderabad,30,31,1,Royal Challengers Bengaluru,70,69,-1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6.5,0,,2026-03-28T14:42:55.305Z,estimated,Sunrisers Hyderabad,33,32,-1,Royal Challengers Bengaluru,67,68,1,trade,trade
2026,2026-03-28,1527674,sunrisers-hyderabad-vs-royal-challengers-bengaluru-1527674,cricipl-roy-sun-2026-03-28,https://www.espncricinfo.com/series/ipl-2026-1510719/royal-challengers-bengaluru-vs-sunrisers-hyderabad-1st-match-1527674/ball-by-ball-commentary,full_cricsheet,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6.6,1,,2026-03-28T14:43:49.576Z,estimated,Sunrisers Hyderabad,33,34,1,Royal Challengers Bengaluru,67,66,-1,trade,trade
